price,white,country_Argentina,country_Australia,country_Chile,country_Germany,country_Portugal,country_Spain,country_US,"flavor_categories_taste_notes_light, fruity","flavor_categories_taste_notes_medium bodied, balanced"
10.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,1,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,1,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
35.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,1,0,0,0,0,0,0
32.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,1,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
21.0,0.0,0,0,0,0,0,1,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
35.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,1,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,1,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
24.0,0.0,0,0,0,0,0,0,1,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,1,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,1,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
27.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
30.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
14.0,0.0,0,0,0,0,1,0,0,0,0
11.0,0.0,0,0,0,0,0,0,1,0,0
65.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
40.0,0.0,0,0,0,0,0,0,0,0,0
34.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
26.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,1,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
26.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,1,0,0,0
8.0,0.0,0,0,0,0,1,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
8.0,0.0,0,0,0,0,1,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,1,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,1,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,1,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,1,0,0,0,0,0,0,0
20.0,0.0,0,1,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,1,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,1,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
21.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,1,0,0,0,0
12.0,0.0,0,0,0,0,1,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,1,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
46.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
45.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
21.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
27.0,0.0,0,0,0,0,0,0,1,0,0
21.0,0.0,0,1,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,1,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,1,0,0,0,0
8.0,0.0,0,0,0,0,1,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
14.0,0.0,1,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,1,0,0
32.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,1,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,1,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
38.0,0.0,0,0,0,0,0,0,0,0,0
40.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,1,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
26.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
50.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,0,0,0,1,0,0,0
11.0,0.0,0,0,0,0,1,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
35.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
27.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,1,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
42.0,0.0,0,0,0,0,0,0,1,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,1,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,1,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,1,0,0,0,0
12.0,0.0,0,0,0,0,1,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,1,0,0,0
9.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
32.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,0,0,0,1,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
6.0,0.0,0,0,0,0,0,0,1,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
10.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
21.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,1,0,0,0,0,0,0
13.0,0.0,0,0,1,0,0,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
13.0,0.0,0,0,1,0,0,0,0,0,0
35.0,0.0,0,0,0,0,0,0,1,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
35.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,1,0,0,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,1,0,0,0,0
9.0,0.0,0,0,0,0,1,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,1,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
36.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0
21.0,0.0,0,0,0,0,0,0,0,0,0
52.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
24.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
35.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
100.0,0.0,0,0,0,0,0,0,0,0,0
9.0,0.0,0,0,0,0,0,1,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,1,0,0,0
35.0,0.0,0,0,0,0,0,0,0,0,0
29.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
25.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,1,0,0,0,0
19.0,0.0,0,0,0,0,0,0,1,0,0
29.0,0.0,0,0,0,0,0,0,0,0,0
52.0,0.0,0,0,0,0,0,0,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
26.0,0.0,0,0,0,0,0,0,1,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
42.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,1,0,0
46.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
24.0,0.0,0,0,0,0,0,0,1,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
27.0,0.0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
26.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
27.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
19.0,0.0,0,0,0,0,0,0,0,0,0
24.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
12.0,0.0,0,0,0,0,0,0,0,0,0
8.0,0.0,0,0,0,0,0,1,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
14.0,0.0,0,0,0,0,0,0,1,0,0
45.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,1,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
10.0,0.0,0,0,0,0,1,0,0,0,0
14.0,0.0,0,0,0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,0,1,0,0
22.0,0.0,0,0,0,0,0,0,1,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
17.0,0.0,0,0,0,0,0,0,1,0,0
12.0,0.0,0,0,0,0,0,1,0,0,0
16.0,0.0,0,0,0,0,0,0,0,0,0
28.0,0.0,0,0,0,0,0,0,1,0,0
15.0,0.0,0,0,0,0,0,0,0,0,0
13.0,0.0,0,0,0,0,0,0,0,0,0
11.0,0.0,0,0,0,0,0,0,0,0,0
18.0,0.0,0,0,0,0,0,0,0,0,0
27.0,0.0,0,0,0,0,0,0,0,0,0
